Gene.id,Neutrophil,RBC,Bcell,Monocyte,CD4.Tcell,CD8.Tcell,Platelet
ENSG00000142669,0.060891702,-0.026382435,0.04881895,0.210689119,0.076051571,0.065909489,0.113939168
ENSG00000205846,-0.032674232,-0.03282366,-0.032694613,-0.032283248,-0.03282366,-0.03282366,-0.03282366
ENSG00000137959,-0.032089749,-0.032822331,-0.032168478,-0.031734785,-0.032223723,-0.032485605,-0.032788435
ENSG00000170043,-0.006100041,-0.032759717,-0.010032646,-0.004265513,-0.015056669,-0.018999986,-0.012903819
ENSG00000177173,-0.032255187,-0.032800127,-0.032346122,-0.032000619,-0.032387873,-0.032253765,-0.03282366
ENSG00000172232,-0.032260807,-0.03282366,-0.032546984,-0.032245887,-0.032592967,-0.032453851,-0.032810173
ENSG00000229671,-0.03275008,-0.03282366,-0.032709731,-0.032403811,-0.032803232,-0.032806741,-0.032786636
ENSG00000250575,-0.032690953,-0.03282366,-0.032807734,-0.032516232,-0.03282366,-0.032779312,-0.03282366
ENSG00000185198,-0.032567606,-0.03282366,-0.032724093,-0.032529803,-0.032543681,-0.032813578,-0.032790567
ENSG00000104904,0.073283684,0.066040022,0.042143962,0.104847701,0.008866584,0.004149139,0.044792011
ENSG00000186076,-0.032730631,-0.03282366,-0.03260441,-0.032518123,-0.032702249,-0.032680007,-0.03282366
ENSG00000203395,-0.032802811,-0.03282366,-0.032802757,-0.032658593,-0.03282366,-0.032808139,-0.032747238
ENSG00000254325,-0.032789067,-0.03282366,-0.03282366,-0.032695029,-0.03282366,-0.032791002,-0.03282366
ENSG00000216285,-0.03278599,-0.03282366,-0.032759175,-0.032687866,-0.032719593,-0.032780564,-0.03282366
ENSG00000186652,-0.03281845,-0.03282366,-0.032786085,-0.032710622,-0.032794784,-0.032793765,-0.03282366
ENSG00000259674,-0.032781493,-0.03282366,-0.032737546,-0.032715719,-0.032807116,-0.032796255,-0.032793676
ENSG00000198223,-0.032821137,-0.03282366,-0.03282366,-0.03281688,-0.03282366,-0.03282366,-0.03282366
ENSG00000162747,0.58818459,-0.03282366,-0.032223272,-0.032716611,-0.03282366,-0.032816508,-0.032804097
ENSG00000105205,0.485258155,-0.03282366,-0.032575061,-0.032769129,-0.032760974,-0.032321778,-0.03271005
ENSG00000180871,0.25991809,-0.03282366,-0.032658764,-0.032531614,-0.032807234,-0.032793049,-0.032752954
ENSG00000163464,0.196776264,-0.03282366,-0.032661073,-0.032681003,-0.032807661,-0.032805992,-0.032799497
ENSG00000162551,0.062093478,-0.032821397,-0.032751476,-0.03282366,-0.032814835,-0.03282366,-0.03282366
ENSG00000173535,0.12810352,-0.03282366,-0.032580701,-0.031614105,-0.03282366,-0.03282366,-0.03282366
ENSG00000008516,0.253021985,-0.03282366,-0.032589318,-0.030089793,-0.032473133,-0.032251014,-0.03280909
ENSG00000182885,0.051322,-0.03282366,-0.032699221,-0.032475305,-0.032815691,-0.032523347,-0.032812828
ENSG00000008438,0.003211188,-0.03282366,-0.032768848,-0.032799614,-0.032713089,-0.032762608,-0.032806961
ENSG00000183625,0.001168128,-0.03282366,-0.032782182,-0.032799398,-0.03273441,-0.03266966,-0.032810181
ENSG00000100985,0.075408029,-0.032820746,-0.03258714,-0.032467898,-0.031062846,-0.030908967,-0.03282366
ENSG00000126262,0.095341982,-0.03282366,-0.030624523,-0.026462916,-0.032811312,-0.032818547,-0.032784495
ENSG00000092067,-0.013207728,-0.03282366,-0.032791916,-0.032500559,-0.032789507,-0.032809517,-0.032800449
ENSG00000173110,0.046425656,-0.03282366,-0.031870739,-0.027901899,-0.032801276,-0.032781946,-0.032798305
