Gene.id,Adipose.Tissue,Bladder,Brain,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Pancreas,Pituitary,Skin,Small.Intestine,Stomach
ENSG00000099834,-0.088262151,-0.088185407,-0.088254715,-0.067387955,-0.088193654,-0.088289209,-0.081532238,-0.070800951,-0.088214863,-0.088265635,-0.088212425,-0.088039219,-0.088050284,-0.088255807,0.016887478,-0.087677312
ENSG00000166866,-0.088202352,-0.088209664,-0.087991484,-0.075475665,-0.088141307,-0.088284195,-0.088283632,-0.088260678,-0.088107974,-0.088271458,-0.088165885,-0.088255685,-0.088140721,-0.088209106,-0.030833295,-0.085969495
ENSG00000079112,-0.088291702,-0.088203073,-0.088198716,-0.067701595,-0.087889418,-0.08817319,-0.085394415,-0.088294915,-0.088084137,-0.088297481,-0.088284066,-0.087443187,-0.088285921,-0.088294771,-0.060908994,-0.088088098
ENSG00000134028,-0.08803734,-0.087747091,-0.088298189,-0.065624969,-0.088155398,-0.08828332,-0.088177816,-0.088274243,-0.08785129,-0.088290309,-0.088228555,-0.088277865,-0.088262209,-0.088202862,-0.040545823,-0.087904845
ENSG00000143167,-0.088271834,-0.088247288,-0.08827917,-0.06922007,-0.088271428,-0.088247037,-0.088286702,-0.088295244,-0.087841122,-0.088276666,-0.088284339,-0.088300703,-0.088270004,-0.088297193,-0.068245342,-0.088270452
ENSG00000256713,-0.087342439,-0.087470124,-0.088012819,-0.087630872,-0.083839571,-0.088001071,-0.087948501,-0.087744201,-0.085244671,-0.088012019,-0.087519047,-0.087550852,-0.08771773,-0.083984258,-0.087738697,5.172928998
ENSG00000229859,-0.084075327,-0.083915498,-0.087188113,-0.084611019,-0.004962235,-0.086971568,-0.086652586,-0.085435306,-0.066593603,-0.086878828,-0.084240399,-0.085017708,-0.085103183,-0.068457873,-0.085069311,28.22300828
ENSG00000229183,-0.085445582,-0.084866323,-0.087608118,-0.085943641,-0.022665976,-0.087482072,-0.087343391,-0.086458099,-0.058146662,-0.087468312,-0.085953039,-0.085526103,-0.085955316,-0.071021591,-0.08631071,18.51068722
ENSG00000215182,-0.088303346,-0.088270386,-0.088302339,-0.088298619,-0.087962582,-0.088306581,-0.088306761,-0.088298141,-0.087878761,-0.088305614,-0.088303406,-0.08813416,-0.08829568,-0.088233056,-0.08830255,-0.044389301
ENSG00000196188,-0.088263344,-0.08635626,-0.088299464,-0.087595894,-0.087702405,-0.088277037,-0.088236867,-0.088219449,-0.077261691,-0.088300862,-0.08829157,-0.087786248,-0.087896682,-0.088253712,-0.086810673,-0.039401983
ENSG00000157017,-0.088075438,-0.088104812,-0.088082296,-0.088074464,-0.087618174,-0.088199325,-0.088023639,-0.088137841,-0.087728646,-0.088197608,-0.08775195,-0.087601868,-0.087891548,-0.08791315,-0.087696361,0.006804668
ENSG00000101842,-0.088282307,-0.087270802,-0.088212215,-0.088283327,-0.088187307,-0.088301904,-0.088286598,-0.088296165,-0.088149471,-0.088302117,-0.088293338,-0.088254172,-0.087351438,-0.088187601,-0.088206723,-0.072281034
